fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
50,50,2025-06-22 00:00:00+00:00,train,540844,0.0,0.4939489531170052,0.494,0.494,0.494,-5.1046882994787435e-05
51,51,2025-06-23 00:00:00+00:00,train,540819,0.0,0.485176034991215,0.485,0.485,0.485,0.00017603499121499055
51,51,2025-06-23 00:00:00+00:00,train,540843,0.0,0.5098743267679573,0.51,0.51,0.51,-0.0001256732320427112
51,51,2025-06-23 00:00:00+00:00,train,540844,0.0,0.4939495385105646,0.494,0.494,0.494,-5.0461489435382756e-05
52,52,2025-06-24 00:00:00+00:00,train,540819,0.0,0.48517294018076695,0.485,0.485,0.485,0.00017294018076696727
52,52,2025-06-24 00:00:00+00:00,train,540843,0.0,0.5098768488555601,0.51,0.51,0.51,-0.000123151144439948
52,52,2025-06-24 00:00:00+00:00,train,540844,0.0,0.4939501128883251,0.494,0.494,0.494,-4.988711167491777e-05
52,52,2025-06-24 00:00:00+00:00,train,553824,0.032258064516129024,0.5164142195837008,0.175,0.175,0.175,0.34141421958370083
52,52,2025-06-24 00:00:00+00:00,train,553826,0.032258064516129024,0.5127995304686994,0.085,0.085,0.085,0.4277995304686994
52,52,2025-06-24 00:00:00+00:00,train,553827,0.032258064516129024,0.5103695259509985,0.058,0.058,0.058,0.4523695259509985
52,52,2025-06-24 00:00:00+00:00,train,553828,0.032258064516129024,0.4962467959296056,0.2525,0.2525,0.2525,0.24374679592960558
52,52,2025-06-24 00:00:00+00:00,train,553829,0.032258064516129024,0.5101011442763942,0.0795,0.0795,0.0795,0.4306011442763942
52,52,2025-06-24 00:00:00+00:00,train,553830,0.032258064516129024,0.5106687090601647,0.0845,0.0845,0.0845,0.4261687090601647
52,52,2025-06-24 00:00:00+00:00,train,553831,0.032258064516129024,0.49872282737213136,0.0065,0.0065,0.0065,0.49222282737213136
52,52,2025-06-24 00:00:00+00:00,train,553837,0.032258064516129024,0.5091711181555711,0.0165,0.0165,0.0165,0.49267111815557113
52,52,2025-06-24 00:00:00+00:00,train,553838,0.032258064516129024,0.5001935859514438,0.0615,0.0615,0.0615,0.4386935859514438
52,52,2025-06-24 00:00:00+00:00,train,553839,0.032258064516129024,0.5083682516268416,0.0095,0.0095,0.0095,0.4988682516268416
52,52,2025-06-24 00:00:00+00:00,train,553843,0.032258064516129024,0.5096257057645184,0.026,0.026,0.026,0.48362570576451835
52,52,2025-06-24 00:00:00+00:00,train,553848,0.032258064516129024,0.507095924319113,0.0105,0.0105,0.0105,0.496595924319113
52,52,2025-06-24 00:00:00+00:00,train,553849,0.032258064516129024,0.5088049243085031,0.0455,0.0455,0.0455,0.4633049243085031
52,52,2025-06-24 00:00:00+00:00,train,553850,0.032258064516129024,0.506953446338754,0.0085,0.0085,0.0085,0.49845344633875405
52,52,2025-06-24 00:00:00+00:00,train,553851,0.032258064516129024,0.505364854231513,0.071,0.071,0.071,0.434364854231513
52,52,2025-06-24 00:00:00+00:00,train,553852,0.032258064516129024,0.5072308641232826,0.0125,0.0125,0.0125,0.49473086412328254
52,52,2025-06-24 00:00:00+00:00,train,553856,0.0,0.49290601928320893,0.485,0.485,0.485,0.007906019283208943
52,52,2025-06-24 00:00:00+00:00,train,553857,0.032258064516129024,0.49032182623840426,0.044,0.044,0.044,0.4463218262384043
52,52,2025-06-24 00:00:00+00:00,train,553858,0.032258064516129024,0.4953510240105996,0.0275,0.0275,0.0275,0.4678510240105996
52,52,2025-06-24 00:00:00+00:00,train,553859,0.032258064516129024,0.4928200007187836,0.015,0.015,0.015,0.4778200007187836
52,52,2025-06-24 00:00:00+00:00,train,553860,0.032258064516129024,0.4914176714302137,0.0065,0.0065,0.0065,0.4849176714302137
