fold,id,weight,p_hat,c_exec,implied,edge
1,566142,0.0,0.06103863207196799,0.355,0.355,-0.293961367928032
1,553869,0.0,0.04889807561594092,0.0015,0.0015,0.04739807561594092
1,558941,0.0,0.04073735353772803,0.0335,0.0335,0.007237353537728031
1,553865,0.0,0.06437943619832595,0.065,0.065,-0.0006205638016740511
1,553857,0.0,0.056642383264484945,0.044,0.044,0.012642383264484948
1,553827,0.0,0.0954256642848658,0.058,0.058,0.0374256642848658
1,558960,0.0,0.03016255577934622,0.0015,0.0015,0.02866255577934622
1,561973,0.0,0.03976474545759665,0.0185,0.0185,0.021264745457596653
1,561253,0.0,0.040508384245816334,0.0245,0.0245,0.016008384245816333
1,559661,0.0,0.0409895703848733,0.0765,0.0765,-0.035510429615126696
1,553826,0.0,0.09996529115094034,0.085,0.085,0.014965291150940335
1,564198,0.0,0.08666789084757588,0.145,0.145,-0.05833210915242411
1,559674,0.0,0.029975557057151915,0.0075,0.0075,0.022475557057151915
1,558956,0.0,0.032432979222168735,0.0045,0.0045,0.027932979222168735
1,540843,0.0,0.09211632928226557,0.51,0.51,-0.41788367071773447
1,553850,0.0003615888484418453,0.08649277215396568,0.0085,0.0085,0.07799277215396569
1,561983,0.0,0.028458665396897922,0.0095,0.0095,0.018958665396897924
1,561979,0.0,0.03777826648425012,0.0255,0.0255,0.012278266484250119
1,561995,0.0,0.02429106096190829,0.0065,0.0065,0.01779106096190829
1,559668,0.0,0.038240174870658374,0.0275,0.0275,0.010740174870658373
1,561247,0.0,0.023379683092442163,0.0065,0.0065,0.016879683092442165
1,559659,0.0,0.03577592211126162,0.0125,0.0125,0.02327592211126162
1,561243,0.0,0.036709409661533896,0.0375,0.0375,-0.0007905903384661031
1,561237,0.0,0.03548239893174876,0.0125,0.0125,0.02298239893174876
1,564222,0.0006889571443126892,0.10484944380263832,0.0015,0.0015,0.10334944380263832
1,562829,0.00042974378268931886,0.090770997485635,0.0075,0.0075,0.08327099748563499
1,561234,0.0,0.04253828768694342,0.1105,0.1105,-0.06796171231305659
1,559679,0.0,0.023331080840704305,0.0065,0.0065,0.016831080840704307
1,559683,0.0,0.022792018893086647,0.0075,0.0075,0.015292018893086647
