fold,period_idx,date,split,pnl_realized_next_step,objective,turnover_l1,risk_cov,risk_diag_equiv
242,242,2025-12-31 00:00:00+00:00,validation,-0.00010135135135135136,0.05562892637946393,0.0,0.0008161771906007164,0.0008161636770872029
243,243,2026-01-01 00:00:00+00:00,validation,-0.00010135135135135136,0.0555757575433097,0.0,0.0008155353871414301,0.0008155218736279165
244,244,2026-01-02 00:00:00+00:00,validation,-0.00010135135135135136,0.05552356338046365,0.0,0.0008149051789852552,0.0008148916654717416
245,245,2026-01-03 00:00:00+00:00,validation,-0.00010135135135135136,0.055472319581716736,0.0,0.0008142862812764943,0.0008142727677629807
246,246,2026-01-04 00:00:00+00:00,validation,-0.00010135135135135136,0.055422002711107435,0.0,0.000813678419264148,0.0008136649057506346
247,247,2026-01-05 00:00:00+00:00,validation,-0.00010135135135135136,0.05537259017037735,0.0,0.0008130813278977257,0.0008130678143842124
248,248,2026-01-06 00:00:00+00:00,validation,-0.00010135135135135136,0.05532406016531237,0.0,0.0008124947514442475,0.000812481237930734
249,249,2026-01-07 00:00:00+00:00,validation,-0.00010135135135135136,0.055276391673860906,0.0,0.0008119184431252492,0.0008119049296117356
250,250,2026-01-08 00:00:00+00:00,validation,-0.00010135135135135136,0.055229564415916296,0.0,0.0008113521647725164,0.000811338651259003
251,251,2026-01-09 00:00:00+00:00,validation,-0.00010135135135135136,0.055183558824702834,0.0,0.0008107956865019238,0.0008107821729884104
252,252,2026-01-10 00:00:00+00:00,validation,-0.00010135135135135136,0.05513835601964405,0.0,0.0008102487864039885,0.000810235272890475
253,253,2026-01-11 00:00:00+00:00,validation,-0.00010135135135135136,0.05509393778066746,0.0,0.0008097112502506756,0.0008096977367371622
254,254,2026-01-12 00:00:00+00:00,validation,-0.00010135135135135136,0.05505028652386299,0.0,0.0008091828712175295,0.0008091693577040159
255,255,2026-01-13 00:00:00+00:00,validation,-0.00010135135135135136,0.055007385278405,0.0,0.0008086634496201024,0.0008086499361065889
256,256,2026-01-14 00:00:00+00:00,validation,-0.00010135135135135136,0.054965217664701256,0.0,0.0008081527926643136,0.0008081392791508001
257,257,2026-01-15 00:00:00+00:00,validation,-0.00010135135135135136,0.054923767873718075,0.0,0.0008076507142101831,0.0008076372006966695
258,258,2026-01-16 00:00:00+00:00,validation,-0.00010135135135135136,0.05488302064738927,0.0,0.0008071570345478717,0.0008071435210343582
259,259,2026-01-17 00:00:00+00:00,validation,-0.00010135135135135136,0.05484296126009202,0.0,0.0008066715801858852,0.0008066580666723716
260,260,2026-01-18 00:00:00+00:00,validation,-0.00010135135135135136,0.05480357550115021,0.0,0.0008061941836509985,0.0008061806701374851
261,261,2026-01-19 00:00:00+00:00,validation,-0.00010135135135135136,0.05476484965825289,0.0,0.0008057246832986176,0.0008057111697851039
262,262,2026-01-20 00:00:00+00:00,validation,-0.00010135135135135136,0.054726770501877756,0.0,0.0008052629231346588,0.0008052494096211453
263,263,2026-01-21 00:00:00+00:00,validation,-0.00010135135135135136,0.05468932527051517,0.0,0.0008048087526465685,0.000804795239133055
264,264,2026-01-22 00:00:00+00:00,validation,-0.00010135135135135136,0.05465250165685336,0.0,0.0008043620266454046,0.0008043485131318912
265,265,2026-01-23 00:00:00+00:00,validation,-0.00010135147553930018,0.05461621188164084,2.4175254033625276e-06,0.0008039221878151615,0.0008039086743016463
266,266,2026-01-24 00:00:00+00:00,validation,-0.0001030491324532097,0.05331233339543319,0.03259501274706347,0.0008104355701143477,0.0008104218625389812
267,267,2026-01-25 00:00:00+00:00,validation,-0.00010273972602739724,0.054724650870427646,0.005940603375599143,0.0008116999899677763,0.0008116862913376392
268,268,2026-01-26 00:00:00+00:00,validation,-0.00010273972602739724,0.054987225178375204,0.0,0.0008112755484251356,0.0008112618497949988
269,269,2026-01-27 00:00:00+00:00,validation,-0.00010273972602739724,0.0549533359930171,0.0,0.0008108580011208059,0.0008108443024906691
270,270,2026-01-28 00:00:00+00:00,validation,-0.00010273972602739724,0.054920003660269036,0.0,0.0008104472303935032,0.0008104335317633664
271,271,2026-01-29 00:00:00+00:00,validation,-0.00010433159821265457,0.05454978010578601,0.00801425307060559,0.0008046177092600758,0.0008046041041372045
272,272,2026-01-30 00:00:00+00:00,validation,-0.00010810810810810812,0.05409912293575782,0.01901277395642132,0.0007998688364968756,0.0007998553229833621
