fold,id,weight,p_hat,c_exec,implied,edge
1,561248,0.0,0.02107449342858497,0.006,0.0055,0.01507449342858497
1,561249,0.0,0.02203552754816626,0.01,0.0095,0.012035527548166261
1,561250,0.0,0.022392757201091743,0.01,0.0095,0.012392757201091743
1,561251,0.0,0.0207008460115657,0.006,0.0055,0.014700846011565702
1,561252,0.0,0.025274684317391313,0.015,0.0145,0.010274684317391314
1,561253,0.0,0.0284875963629402,0.027,0.0265,0.0014875963629401995
1,561254,0.0,0.02081562899529273,0.005,0.0045,0.01581562899529273
1,561255,0.0,0.023852730241275762,0.009,0.0085,0.014852730241275763
1,561256,0.0,0.021885214350242963,0.007,0.0065,0.014885214350242964
1,561257,0.0,0.023170209238404883,0.011,0.0105,0.012170209238404884
1,561258,0.0,0.023540872082925213,0.01,0.0095,0.013540872082925213
1,561259,0.0,0.02344938611805922,0.009,0.0085,0.014449386118059222
1,561260,0.0,0.02404472119332177,0.009,0.0085,0.01504472119332177
1,561261,0.0,0.03171892387978104,0.032,0.0315,-0.00028107612021895795
1,561262,0.0,0.025421608786697643,0.014,0.0135,0.011421608786697643
1,561263,0.0,0.022695072246703318,0.006,0.0055,0.016695072246703316
1,561264,0.0,0.02361492139946733,0.006,0.0055,0.017614921399467333
1,561365,0.0,0.08271095669999495,0.11,0.1,-0.027289043300005048
1,561366,0.0,0.025323938496607235,0.002,0.0015,0.023323938496607237
1,561367,0.0,0.02571069190132091,0.003,0.0025,0.022710691901320912
1,561368,0.0,0.024929019572503784,0.002,0.0015,0.022929019572503782
1,561369,0.0,0.02505068221908773,0.004,0.003,0.021050682219087728
2,561370,0.0,0.09212278878785896,0.892,0.8825,-0.7998772112121411
2,561371,0.0,0.021827647081207675,0.001,0.0005,0.020827647081207674
2,561372,0.0,0.02055979651049486,0.001,0.0005,0.01955979651049486
2,561373,0.0,0.0223691478133206,0.001,0.0005,0.0213691478133206
2,561377,0.0,0.022738721521746663,0.001,0.0005,0.021738721521746662
2,561379,0.0,0.022537371701345284,0.001,0.0005,0.021537371701345284
2,561380,0.0,0.022862847140627123,0.001,0.0005,0.021862847140627122
2,561381,0.0,0.022670298158772383,0.001,0.0005,0.02167029815877238
2,561973,0.0,0.02376967278791402,0.018,0.0175,0.005769672787914022
2,561974,0.031106875552958987,0.44878044714369186,0.368,0.367,0.08078044714369187
2,561975,0.0,0.18651530353491946,0.207,0.206,-0.020484696465080526
2,561976,0.0,0.02170030716851519,0.012,0.0115,0.00970030716851519
2,561977,0.0,0.02338971106870037,0.016,0.0155,0.0073897110687003685
2,561978,0.0,0.023258315449788028,0.016,0.0155,0.0072583154497880276
2,561979,0.0,0.02643041395954738,0.027,0.026,-0.0005695860404526208
2,561980,0.0,0.021698644141792452,0.011,0.0105,0.010698644141792453
2,561981,0.0,0.021620839554145323,0.012,0.0115,0.009620839554145322
2,561982,0.0,0.020197090053200594,0.008,0.0075,0.012197090053200594
2,561983,0.0,0.02095892894999267,0.01,0.0095,0.01095892894999267
2,561984,0.0,0.02063213617834404,0.008,0.0075,0.01263213617834404
2,561985,0.0,0.020913822083975547,0.009,0.0085,0.011913822083975548
2,561986,0.0,0.02,0.006,0.0055,0.014
2,561987,0.0,0.020042904366340056,0.007,0.0065,0.013042904366340057
2,561988,0.0,0.020309856895847585,0.007,0.0065,0.013309856895847585
2,561989,0.0,0.021421287650215448,0.011,0.0105,0.010421287650215449
2,561990,0.0,0.021252776738673682,0.012,0.011,0.009252776738673682
2,561991,0.0,0.020535958842188746,0.008,0.0075,0.012535958842188746
2,561992,0.0,0.02,0.007,0.0065,0.013000000000000001
2,561993,0.0,0.02,0.007,0.0065,0.013000000000000001
2,561994,0.0,0.02,0.007,0.0065,0.013000000000000001
2,561995,0.0,0.02,0.006,0.0055,0.014
2,561996,0.0,0.03428541398227849,0.047,0.0465,-0.012714586017721512
2,561998,0.0,0.02211254667008869,0.012,0.0115,0.01011254667008869
2,561999,0.0,0.020099009749615922,0.008,0.007,0.012099009749615922
2,562000,0.0,0.021576168208507107,0.012,0.0115,0.009576168208507107
2,562001,0.0,0.020193340505985972,0.007,0.0065,0.013193340505985973
2,562002,0.0,0.020034454127508605,0.006,0.0055,0.014034454127508604
2,562003,0.0,0.02,0.007,0.006,0.013000000000000001
